"phase","cards","order","outcomeArray","response","answer","AmyResponse","BenResponse","corAnswer","round","subj","outcome","cards_iso","RT","points","exp_time","number","inference_level","should_know","numRound","age","gender"
9,"AAA8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","True","AA","False","True","False",2,115,0,"AAA8A8",3.52,1,23.2,40,3,10,3,30,1
10,"A8AAA8","You,Amy,Ben","[[False, False, False], [True]]","False","88","False","False","False",1,115,0,"A8AAA8",2.462,1,23.2,40,2,4,2,30,1
10,"A8AAA8","You,Amy,Ben","[[False, False, False], [True]]","True","88","","","True",2,115,0,"A8AAA8",46.057,1,23.2,40,2,4,2,30,1
1,"AAA8A8","Ben,You,Amy","[[False, False, False], [True, False, True], [True, False]]","False","A8","False","False","False",1,116,0,"AAA8A8",17.672,3,26.3,30,3,10,3,28,1
1,"AAA8A8","Ben,You,Amy","[[False, False, False], [True, False, True], [True, False]]","True","A8","","True","False",2,116,0,"AAA8A8",135.775,3,26.3,30,3,10,3,28,1
2,"88AAA8","Ben,You,Amy","[[False, False, False], [True, True]]","False","","False","False","False",1,116,0,"AA88A8",18.858,3,26.3,30,2,5,2,28,1
2,"88AAA8","Ben,You,Amy","[[False, False, False], [True, True]]","False","","","True","True",2,116,0,"AA88A8",116.811,3,26.3,30,2,5,2,28,1
3,"A8AAA8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","88","False","False","False",1,116,0,"A8AAA8",2.074,3,26.3,30,4,10,3,28,1
3,"A8AAA8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","True","88","False","True","False",2,116,0,"A8AAA8",82.575,3,26.3,30,4,10,3,28,1
4,"A8AA88","You,Amy,Ben","[[False, False, False], [True]]","False","","False","False","False",1,116,0,"A8AA88",3.108,3,26.3,30,1,4,2,28,1
4,"A8AA88","You,Amy,Ben","[[False, False, False], [True]]","False","","","","True",2,116,0,"A8AA88",3.909,3,26.3,30,1,4,2,28,1
5,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","A8","False","False","False",1,116,0,"A8A8A8",1.829,3,26.3,30,3,10,3,28,1
5,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","True","A8","False","True","False",2,116,0,"A8A8A8",110.883,3,26.3,30,3,10,3,28,1
